3.579939509051661872e+01,1.620144792022031197e+03,1.655944187112547752e+03
3.432304942124889635e+01,1.621628217481708816e+03,1.655951266902957741e+03
3.198910205110498239e+01,1.623973741725369564e+03,1.655962843776474529e+03
2.898390928733866545e+01,1.626994139598775291e+03,1.655978048886114038e+03
2.555096519385586618e+01,1.630444666194297724e+03,1.655995631388153697e+03
2.197067402052245555e+01,1.634043350106172738e+03,1.656014024126695176e+03
1.853529637126390739e+01,1.637496162683684588e+03,1.656031459054948527e+03
1.552113070569619957e+01,1.640525052025665218e+03,1.656046182731361341e+03
1.316096737324913946e+01,1.642895704358730200e+03,1.656056671731979350e+03
1.162035257534068577e+01,1.644441478119943895e+03,1.656061830695284470e+03
1.098111035799799673e+01,1.645080150876072594e+03,1.656061261234070571e+03
1.123470270902944890e+01,1.644820508653750267e+03,1.656055211362779801e+03
1.228642617986583652e+01,1.643758208286336640e+03,1.656044634466202524e+03
1.396969764236109057e+01,1.642061226483981045e+03,1.656030924126342143e+03
1.606791311872628825e+01,1.639947822903479846e+03,1.656015736022206056e+03
1.834034144329259419e+01,1.637660434613742609e+03,1.656000776057035182e+03
2.054870202567056126e+01,1.635438821455099969e+03,1.655987523480770506e+03
2.248119021162084152e+01,1.633496030551891636e+03,1.655977220763512378e+03
2.397177714607112975e+01,1.631998845640232503e+03,1.655970622786303693e+03
2.491326022287234565e+01,1.631054922528428278e+03,1.655968182751300674e+03
2.526377986684764565e+01,1.630706069023237887e+03,1.655969848890085586e+03
2.504721042580079171e+01,1.630928051711793387e+03,1.655975262137594200e+03
2.434749130299433162e+01,1.631636309209615547e+03,1.655983800512609832e+03
2.329779866008851741e+01,1.632696644843457079e+03,1.655994443503545654e+03
2.206599151645335510e+01,1.633940179348498987e+03,1.656006170864952310e+03
2.083756920909731036e+01,1.635180264981910568e+03,1.656017834191007978e+03
1.979735394763455503e+01,1.636230951147180349e+03,1.656028305094814868e+03
1.911157293848021155e+01,1.636925051772261668e+03,1.656036624710741989e+03
1.891232672610206222e+01,1.637129710399935220e+03,1.656042037126037258e+03
1.928583784890289365e+01,1.636758273164667571e+03,1.656044111013570500e+03
2.026552700867750190e+01,1.635777254530351001e+03,1.656042781539028510e+03
2.183066677608978168e+01,1.634207633069903977e+03,1.656038299845993834e+03
2.391054432726774337e+01,1.632120733771478854e+03,1.656031278098746498e+03
2.639319558756616502e+01,1.629629215093041466e+03,1.656022410680607663e+03
2.913742635503792755e+01,1.626875177030635086e+03,1.656012603385672946e+03
3.198660443908249107e+01,1.624016123036812587e+03,1.656002727475894972e+03
3.478235096980572649e+01,1.621211158220521611e+03,1.655993509190327359e+03
