0.1,-4,1,0,0
0.2,-4,1,0,0
0.3,-3.84,0.32,4.41432e-06,3.31073e-07
0.4,-3.83819,0.318636,0.00467726,0.104333
0.5,-3.83624,0.430454,0.0163779,4.16691
0.6,-3.82887,0.0319787,0.0280951,2.44692
0.7,-3.99992,0.99998,0.00127666,5.68758e-05
0.8,-3.99958,0.999893,0.00516227,0.000265704
0.9,-3.99872,0.999676,0.0132478,0.000779427
1,-3.79521,0.349305,0.0743843,10.2103
1.1,-3.98433,0.998441,0.0435878,0.00330115
1.2,-3.98886,0.997111,0.0627606,0.00529714
1.3,-3.96653,0.994961,0.0878859,0.00875666
1.4,-3.71077,0.22527,0.19415,8.90378
1.5,-3.6257,0.0657683,0.252214,6.91292
1.6,-3.85965,0.979655,0.279602,0.0455856
1.7,-3.78425,0.969326,0.374255,0.0774836
1.8,-3.69558,0.957786,0.439716,0.112137
1.9,-3.60184,0.939704,0.504054,0.156999
2,-3.49157,0.908972,0.715092,0.374056
2.1,-3.1512,0.732814,2.95177,47.9109
2.2,-3.02145,0.738294,1.71528,7.04855
2.3,-2.7355,0.242587,1.98067,68.5042
2.4,-2.28678,0.175331,0.970573,12.6126
2.5,-2.22149,0.097071,0.610974,4.53536
2.6,-2.04474,0.129134,0.661622,7.24159
2.7,-1.94181,0.0766322,0.572144,2.998
2.8,-1.78065,0.0594074,0.458702,1.73738
2.9,-1.78846,0.062044,0.442206,1.66903
3,-1.64176,0.0546413,0.420977,1.45714
3.1,-1.54541,0.0539948,0.377433,1.31531
3.2,-1.53424,0.0457968,0.313808,0.94441
3.3,-1.44969,0.0397834,0.276052,0.666318
3.4,-1.3154,0.0415509,0.260375,0.673043
3.5,-1.22585,0.0409019,0.228742,0.646408
3.6,-1.27604,0.0364135,0.226392,0.533452
3.7,-1.25657,0.0350166,0.204809,0.494964
3.8,-1.17309,0.0362142,0.196712,0.48031
3.9,-1.18945,0.0333375,0.181327,0.390992
4,-1.1317,0.0327292,0.170036,0.38019
4.1,-1.12621,0.0337361,0.156977,0.361064
4.2,-1.09301,0.0305607,0.150927,0.294755
4.3,-0.973567,0.0301883,0.164115,0.292905
4.4,-1.00654,0.0292,0.140551,0.263539
4.5,-0.926257,0.0289595,0.124897,0.26174
4.6,-0.905387,0.0297442,0.121891,0.277303
4.7,-0.889628,0.0279123,0.113482,0.25176
4.8,-0.881859,0.0295524,0.111063,0.246394
4.9,-0.88076,0.02792,0.109223,0.235224
5,-0.847273,0.0262743,0.0960195,0.20267
5.1,-0.869857,0.0256193,0.0956892,0.201094
5.2,-0.811294,0.0270188,0.091774,0.198476
5.3,-0.847813,0.0259038,0.0892093,0.179535
5.4,-0.792561,0.0259208,0.085388,0.17741
5.5,-0.780723,0.0252022,0.0776551,0.167381
5.6,-0.789338,0.0244469,0.0784645,0.165676
5.7,-0.793331,0.023999,0.0721371,0.149634
5.8,-0.756645,0.0242499,0.0694561,0.146395
5.9,-0.707861,0.0249841,0.0652855,0.142853
6,-0.701363,0.0242243,0.0622537,0.138107
6.1,-0.684256,0.0234542,0.0621445,0.127124
6.2,-0.668149,0.0225809,0.0634014,0.121204
6.3,-0.611496,0.023185,0.0550352,0.121859
6.4,-0.658849,0.0240444,0.0588427,0.130485
6.5,-0.657523,0.0238904,0.0529516,0.120701
6.6,-0.706052,0.0222934,0.0544407,0.106272
6.7,-0.62103,0.0225704,0.051621,0.111202
6.8,-0.562332,0.0225346,0.0495681,0.104596
6.9,-0.642619,0.0221882,0.0480943,0.102592
7,-0.574937,0.0224329,0.0440317,0.10299
7.1,-0.589683,0.0222504,0.0459248,0.098092
7.2,-0.610015,0.022176,0.0424944,0.089148
7.3,-0.576699,0.0217341,0.0416169,0.0928802
7.4,-0.56168,0.0229354,0.0410568,0.0978043
7.5,-0.511413,0.0222419,0.0381215,0.0980794
7.6,-0.544182,0.0220578,0.0364187,0.0852861
7.7,-0.51615,0.0217077,0.0375138,0.0927676
7.8,-0.533574,0.0211784,0.0362639,0.0821998
7.9,-0.553596,0.0211807,0.0348482,0.0879917
8,-0.512264,0.0216313,0.0336828,0.087128
8.1,-0.508752,0.0213637,0.0333484,0.0762226
8.2,-0.486178,0.0216098,0.0326674,0.0823626
8.3,-0.471792,0.0214684,0.0313357,0.0773094
8.4,-0.433262,0.0210221,0.0302007,0.0730945
8.5,-0.468329,0.0210037,0.0304292,0.072831
8.6,-0.427085,0.0209194,0.0297896,0.0712317
8.7,-0.436726,0.0214422,0.0279221,0.0752338
8.8,-0.426671,0.0211654,0.0266997,0.071919
8.9,-0.442725,0.0207803,0.0262684,0.0679989
9,-0.465152,0.0205614,0.0278348,0.0628906
9.1,-0.462995,0.0200187,0.024609,0.0652459
9.2,-0.471398,0.0211697,0.0253444,0.0702138
9.3,-0.428079,0.0208232,0.024073,0.0629149
9.4,-0.401614,0.0200957,0.0235511,0.061236
9.5,-0.473296,0.0201111,0.0238241,0.0608755
9.6,-0.471678,0.0200572,0.0223493,0.0593198
9.7,-0.424782,0.0206059,0.0226862,0.0619635
9.8,-0.388212,0.0197032,0.0219105,0.0563878
9.9,-0.406836,0.0198579,0.021996,0.0576613
10,-0.447948,0.0202935,0.0212738,0.0578167
